Componenta;Măsura;Finanțare;Titlul măsurii;Alocare Finaciară (euro Exclusiv Tva);Executat (euro);Executat (%)
C15;I16;Loan;I16. Digitalizarea universităților și pregătirea acestora pentru profesiile digitale ale viitorului ;0;0;0,00%
C15;I17;Loan;I17. Asigurarea infrastructurii universitare (cămine, cantine, spații de recreere) ;135.791.094;9.418.821;6,94%
C15;I3;Grant;I3. Dezvoltarea programului cadru pentru formarea continuă a profesioniștilor care lucrează în servicii de educație timpurii;3.832.000;3.021.046;48,44%
C15;I4;Loan;I4. Sprijinirea unităților de învățământ cu risc crescut de abandon școlar ;460.000.000;708.458;18,49%
C15;I5;Loan;I5. Instruiri pentru utilizatorii (SIIIR) și (MATE) și intervenții sistemice pentru reducerea abandonului școlar ;43.000.000;14.447.218;3,14%
C15;I6;Loan;I6. Dezvoltarea si dotarea campusurilor profesionale in cadrul consortiilor regionale ;169.000.000;0;0,00%
C15;I14;Loan;I14. Echiparea atelierelor de practică din unitățile de învățământ profesional și tehnic ;50.000.000;21.042.120;12,45%
C15;I8;Loan;I8. Program de formare continuă a personalului didactic ;80.000.000;20.923.326;26,15%
C15;I9;Loan;I9. Asigurarea echipamentelor și resurselor tehnologice digitale pentru școli;478.500.000;250.736.143;52,40%
C15;R1;grant;R1. Elaborarea și adoptarea pachetului legislativ pentru implementarea proiectului „România Educată”;Fără costuri asociate;;
C15;R2;grant;R2. Dezvoltarea unui sistem de servicii de educație timpurie unitar, incluziv și de calitate;Fără costuri asociate;;
C15;R3;grant;R3. Reforma sistemului de învățământ obligatoriu pentru prevenirea și reducerea părăsirii timpurii a școlii;Fără costuri asociate;;
C15;R4;grant;R4. Crearea unei rute profesionale complete pentru învățământul tehnic superior;Fără costuri asociate;;
C15;R5;grant;R5. Adoptarea cadrului legislativ pentru digitalizarea educației;Fără costuri asociate;;
C15;R6;grant;R6. Actualizarea cadrului legislativ pentru a asigura standarde ecologice de proiectare, construcție și dotare în sistemul de învățământ preuniversitar;Fără costuri asociate;;
C15;R7;grant;R7. Reforma guvernanței sistemului de învățământ preuniversitar și profesionalizarea managementului;Fără costuri asociate;;
C16;I2;Grant;I2. Capacități de producție de energie electrică din surse regenerabile;460.000.000;72.507.432;15,76%
C16;I4;Loan;I4. Schemă de acordare a voucherelor pentru accelerarea instalării de capacități de energie regenerabilă  ;305.381.134;0;0,00%
C16;I4;Grant;I4a.  Schemă de acordare a voucherelor pentru accelerarea instalării de capacități de energie regenerabilă ;305.381.134;49.667;0,02%
C16;I5;Grant;I5. Eficientizarea, modernizarea și digitalizarea rețelei naționale de transport a energiei electrice ;51.788.527;0;0,00%
C16;I7;Loan;I7. Schemă de acordare de vouchere pentru îmbunătățirea eficienței energetice în cadrul gospodăriilor individuale ;269.690.200;11.717.014;39,64%
C16;I8;Grant;I8. Contribuția la schema de ajutor de stat sub formă de contracte pentru diferență ;350.088.169;0;0,00%
C2;I1;Grant;I1. Campania națională de împădurire și reîmpădurire, inclusiv păduri urbane ;307547498;73.088.923;23,77%
C2;I2;Grant;I2. Dezvoltarea de capacități moderne de producere a materialului forestier de reproducere ;50000000;17.622.067;35,24%
C2;I3;Grant;I3. Identificarea zonelor potențiale de protecție strictă în habitate naturale terestre și marine în vederea punerii în aplicare a Strategiei UE privind biodiversitatea pentru 2030;5000000;0;0,00%
C2;I4;Grant;I4. Sistem de monitorizare pentru sturioni salbatici in Dunarea de Jos;10001000;0;0,00%
C2;I5;Grant;I5. Sisteme integrate de reducere a riscurilor generate de viituri torențiale în bazinete forestiere;22000000;12.817.720;58,26%
C2;R1;grant;R1. Reforma sistemului de management și a celui privind guvernanța în domeniul forestier prin dezvoltarea unei noi Strategii forestiere naționale și a legislației subsecvente;1.000.000;661.400;66,14%
C2;R2;grant;R2. Reforma sistemului de management al ariilor naturale protejate în vederea implementării coerente și eficace a Strategiei Europene privind biodiversitate;Fără costuri asociate;;
C3;I1;Loan;I1. Dezvoltarea sistemelor de management integrat al deșeurilor municipale la nivel de județ sau la nivel de orașe/comune ;165.643.845;22.057.661;9,19%
C3;I1;Grant;I1a. Constructie de centre voluntare de colectare a deseurilor la nivel de judet sau la nivel de orase/comune;240.106.200;20.313.708;12,26%
C3;I2;Loan;I2. Dezvoltarea infrastructurii pentru managementul gunoiului de grajd și al altor deșeuri agricole compostabile ;50.196.850;236.147;0,47%
C3;I3;Grant;I3. Dezvoltarea capacităților instituționale de monitorizare publică și control pentru gestionarea deșeurilor  ;13.000.000;6.794.785;52,27%
C3;R1;grant;R1. Îmbunătățirea guvernanței în domeniul gestionării deșeurilor în vederea accelerării tranziției către economia circulară.;Fără costuri asociate;;
C4;I1;Loan;I1. Modernizarea și reînnoirea infrastructurii feroviare ;1.874.376.400;1.029.044.282;54,90%
C4;I2;Loan;I2-  Material rulant feroviar;280.829.800;146.803.831;52,28%
C4;I3;loan;I3.  Dezvoltarea infrastructurii rutiere durabile aferente rețelei TEN-T, taxarea drumurilor, managementul traficului și siguranța rutieră ;1.098.821.134;1.658.641.562;150,95%
C4;I3;Grant;I3a.  Dezvoltarea infrastructurii rutiere durabile aferente rețelei TEN-T, taxarea drumurilor, managementul traficului și siguranța rutieră ;2.169.200.266;0;0,00%
C4;R1;grant;R1. Transport sustenabil, decarbonizare și siguranță rutieră /Decarbonizarea rutieră în conformitate cu principiul „poluatorul plătește”;10.000.000;0;0,00%
C4;R2;loan;R2. Management performant pentru transport de calitate - Îmbunătățirea capacității instituționale de management și guvernanță corporativă;19.000.000;1.378.427;7,25%
C5;I1;Loan;I1. Instituirea unui fond pentru Valul Renovării care să finanțeze lucrări de îmbunătățire a eficienței energetice a fondului construit ;526.228.817;1.030.189.366;195,77%
C5;I1;Grant;I1a. Instituirea unui fond pentru Valul Renovării care să finanțeze lucrări de îmbunătățire a eficienței energetice a fondului construit ;1.387.172.898;0;0,00%
C5;I2;Loan;I2. Implementarea Registrului național al clădirilor ;5.000.000;0;0,00%
C5;I4;Loan;I4. Economie circulară și creșterea eficienței energetice a clădirilor istorice;14.850.000;1.313.610;8,85%
C5;R1;loan;R1. Realizarea unui cadru normativ simplificat și actualizat care să sprijine implementarea investițiilor în tranziția spre clădiri verzi și reziliente;150.000;22.000;14,67%
C5;R2;grant;R2. Cadru strategic, normativ și procedural care să sprijine reziliența seismică a fondului construit;Fără costuri asociate;;
C6;I2;Loan;I2. Capacitățile de producție a hidrogenului verde care să fie utilizat pentru stocarea energiei electrice și/sau pentru decarbonizarea industriei ;86.500.000;6.516;0,01%
C6;I3;Loan;I3. Dezvoltarea unei producții combinate de energie termică și energie electrică (CHP) pe gaz flexibile și de înaltă eficiență în sectorul încălzirii centralizate;86.377.743;0;0,00%
C6;I4;Loan;I4. Lant industrial de productie a panourilor fotovoltaice;50.000.000;8.473.404;13,24%
C6;I4;Grant;I4a. Noi capacități de stocare a energiei electrice ;80.000.000;2.860.866;3,31%
C6;I5a;Grant;I5a. Asigurarea eficienței energetice în sectorul industrial ;64.000.000;28.787.172;33,33%
C6;I5;Loan;I5. Asigurarea eficienței energetice în sectorul industrial;0;0;0,00%
C6;R1;grant;R1. Reforma pieței de energie electrică, prin înlocuirea cărbunelui din mixul energetic și susținerea unui cadru legislativ și de reglementare stimulativ pentru investițiile private în producția de electricitate din surse regenerabile;Fără costuri asociate;;
C6;R2;grant;R2. Îmbunătățirea guvernanței corporative a întreprinderilor de stat din sectorul energetic;Fără costuri asociate;;
C6;R4;loan;R4. Dezvoltarea unui cadru legislativ și de reglementare favorabil tehnologiilor viitorului, în special hidrogen și soluții de stocare;1.000.000;1.000.000;100,00%
C6;R5;grant;R5. Reducerea intensității energetice a economiei prin dezvoltarea unui mecanism sustenabil de stimulare a eficienței energetice în industrie şi de creștere a rezilienței;Fără costuri asociate;;
